HotelName,Review,Rating
Divan Cave House,Genel anlamda ortalama bulduğum bir otel oldu. Odamız en alt kattaydı ve karanlıktı. Halbuki fotograflara bakıp bu tarz bi oda istemediğim için oteli tercih etmiştim. Sonrada arayıp sormuştum. 3 gece konakladık. Biz oda da dinlenirken odanın hemen önünde odaya aitmiş gibi konulan bank ve masalarda ( belki de böyle değildir emin değilim) çalışanlar yüksek sesli oturup iş yapıyorlar muhabbet ediyorlardı. Kahvaltı gayet lezzetli ama çalışanlar biraz tecrübesizdi. Yine de iyi niyetli olmaya çalıştıklarından emimim. Ama sanki otel yeni açılmış ve ilk defa çalışıyor gibiler. Yeni devralınmış bi otel izşenimi yarattı bende :),4
Divan Cave House,"Eşssiz bir manzara 😍😍Göremenin en güzel lokasyonunda bulunan terasına bayıldıkkk 
Her şey okadar özenliki insan kendini müthiş hissediyor ..  Tarihi bir konağı böyle muhteşem bir otele çevirmiş olmanız çok eşsiz .. 
Üstelik. Her şey tertemiz , Çalışanlar çok ilgili ve güler yüzlü veee O mutfakta çıkan her şey okadar lezzetliydi adeta büyülendim.. 
Her şey İçin Çook teşekkür ediyorum 🙏🏻🌸",5
Lara Barut Collection,İlk otele girdiğiniz andan başlayarak çıkış yapıncaya kadar kusursuz hizmet aldım. Herkes güler yüzlü be sıcak samimi. Özellikle F&B departmanı çalışanları alkışı hakediyor. Çok ilgili ve çözüm odaklılar. Tekrar görüşeceğiz mutlaka.,5
Liberty Hotels Lara,"Her defasında üstüne koyan bir tesis 5. Kez gelişimiz her defasında güzel şeylerle karşılaşıyoruz personel çok ilgili ve kibar yemek kalitesi iyi restaurant servis kalitesi çok üst düzey, içecek konusunda ne isterseniz var consept çok geniş , ve daha sayamadığımız çok şey, ayrıca restaurant şeflerinden Abidin Bey’e çok teşekkür ederiz kendisi her yerde ve her konuda bize yardımcı oldu tekrar görüşmek üzere Liberty Lara",5
Lara Barut Collection,"Lara barut collection otele ilk defa gittik, Antalya’da gittiğimiz tarihlerde hava kapalı olmasına rağmen oteli deneriz demiştik. Otele girdiğimiz andan çıktığımız ana kadar tüm personelin ağzında ne istersek sadece “memnuniyetle” kelimesi vardı.whatsapp üzerinden sürekli Melike , Tuğba ve Yadigar hanım memnun olup olmadığımızı , herşeyin yolunda gittiğini, ve istediğimiz birşey olursa kendilerine her an ulaşabileceğimizi yazıyorlardı ki öyle de oldu otelde ne istersek hemen yapılıyordu çok güzel bir otel deneyimdi bizim için kendilerine çok teşekkür ederiz🫶🥰🌸 diğer taraftan mutfağı çok güzeldi yemekler çok lezzetli gittiğim otellerin içerisinde en çok deniz ürünleri çıkaran oteldi diyebilirim. Sadece ısıtmalı havuzlar birtık daha sıcak olabilirdi belki ama onun için de aileye özel ücret karşılığı bir havuz vardı biz hep onu tercih ettik hamam çok güzel çok sıcaktı hamam olmanın hakkını veriyordu✨ bu kalitede devam ederse çok müşteri kazanır diye düşünüyorum🙏 çok teşekkür ederim herkese baştan sona ilgilenen tüm personel mükemmeldi❤️",5
Lara Barut Collection,"Oğlumuz Utku ve bizim  için çok güzel bir tatildi 🙏 her şey için çok teşekkürler 🙏  Yemekler, hizmet , içecekler her şey çok kaliteliydi. İşini seven güler yüzlü personel oğluma evindeymiş hissini verdi ❤️ tekrar görüşeceğiz kesinlikle Barut Collection 👋",5
Lara Barut Collection,"Çalışanlar ilgili, yemek ve içecek kalitesi çok yüksek. Kendinizi özel hissettiren ve her anı dolu dolu olan bir işletme. Bahar ayında bize yazı yaşattılar. Isıtmalı havuz hem bizim hem de kızımınızın vazgeçilmezi oldu. Kullanım alanları çok yeterli, her ihtiyacınız anında gideriliyor. Sushi alakart restoranını ayrıca öneriyorum. Tüm uzak doğu lezzetlerini tadabilirsiniz. Açık restoranda her gün yemek ve tatlılar değişiyor. Yerli turistlerede ilgi yabancılarla aynı düzeyde bu insanın yüzünü güldüren bir ayrıntı oldu. Bir daha kesinlikle daha uzun kalmak için gelmek isterim😍",5
Lara Barut Collection,"Başta güler yüzlü ve hizmetinizden dolayı teşekkür ederim.
Çok Hotellere misafir oldum ama Böyle kaliteli bir hizmet hiç görmedim,bütün personeller güler yüzlü ve işini severek yapıyorlar ,buda iş verenin nekadar iyi ve personellerine değer verdiğini gösterir.

Barış Bey ve ekibine teşekkür ederim 20 . Yıl Cocktail harikaydı herkese öneririm 
🖤🤍
Restaurant bölümü Ali Bey ve Mehmet Bey sizlerinde Ilgi ve hizmetinizden dolayı teşekkür ederim 🖤🤍

Tekrardan görüşmek ümidiyle 🖤🤍",5
Liberty Hotels Lara,Otel bir numara personellen tut yeme immer havuzundan sahiöine muhteşem. Sagolsun personellen çok guleryuzluler size bir ṣey soylemeye gerek kalmadan hallediyorlar gene gelmek isteriz cok tesekkürederim her ṣey icin. Herkese tavsiye ederim.,5
Concorde De Luxe Resort,Nisan döneminde otelde 4 gün kaldık ailemle. Isıtmalı havuz için tercih ettiğimiz bir otelde ve her şeyiyle çok güzel bir tatil geçirmemize vesile oldu. Çalışanlar oldukça güler yüzlü ve ilgili herkesin işini hakkıyla yaptığı o kadar belli ki. Temizlik konusunda asla şüphe duymadım ortak kullanım alanlarından oda temizliğine kadar her şey çok hijyenikti. Yemekler mükemmel gerçekten zevkle yedim. 3 yaş kızım için harika animasyonlar aktiviteler vardı. Gece eğlenceleri oldukça yeterli ve keyifliydi. Otel peyzajına diyecek bir sözüm yok yeşil alanları oyun alanları otelin görseli her şey çok çok güzeldi. Beton ve çim olmak üzere iki ayrı tenis kortu mevcuttu. Sahili çok güzeldi kapalıydı tabii ama bir iskelesi de mevcuttu .,5
