Topic_ID,Top_Words
0,"animasyon, ekip, harika, teşekkür, eğlenceli, güzel, aktivite, yemek, yüzlü, iyi"
1,"teşekkür, hizmet, personel, memnun, tesekkur, ilgi, misafir, tavsiye, ilişki, yüzlü"
2,"plaj, beach, sahil, long, yemek, güzel, iyi, oda, temiz, olma"
3,"bar, barda, kokteyl, barmen, teşekkür, çalışan, ilgi, pool, memnun, güzel"
4,"temizlik, memnun, güzel, personel, yemek, oda, tavsiye, iyi, yüzlü, mükemmel"
5,"hotel, teşekkür, tavsiye, hoteli, harika, güzel, ilgi, memnun, mükemmel, hotelde"
6,"türk, rus, yabancı, garson, misafir, müşteri, personel, turist, iyi, yer"
7,"oda, asansör, yer, su, berbat, klima, ver, yemek, merdiven, al"
8,"çocuk, teşekkür, ilgi, kids, club, personel, tavsiye, mini, aktivite, memnun"
9,"personel, yemek, teşekkür, hizmet, harika, güzel, yüzlü, lezzetli, memnun, ilişki"
10,"aqua, park, çocuk, aquapark, güzel, yemek, eğlenceli, iyi, gayet, büyük"
11,"konser, güzel, teşekkür, harika, müzik, mini, aktivite, yemek, disko, spor"
12,"golf, konser, alan, yemek, taraf, belek, bar, kısım, oda, ayrı"
13,"guzel, yemek, tavuk, gun, hindi, kötü, su, aynı, hamburger, bı"
14,"animasyon, ekip, sahil, long, konum, manzara, beach, plaj, güzel, teşekkür"
15,"hata, personel, yetersiz, kötü, ilgisiz, yemek, ver, konu, bun, ara"
16,"animasyon, guzel, uzer, ekip, iyi, animatör, gorusmek, herseyi, sey, is"
17,"teşekkür, herşey, smail, gercekten, ekip, güzel, degil, mehmet, alanya, tavsiye"
18,"memnun, oda, teşekkür, konu, hizmet, güzel, müşteri, eğlence, yüzlü, fadime"
19,"voleybol, topu, aktivite, futbol, animasyon, tüfek, su, etkinlik, dart, iyi"
20,"aquapark, su, aqua, tuzlu, park, iyi, çocuk, yeterli, yemek, büyük"
21,"pandemi, dönem, süreç, önlem, hijyen, teşekkür, konser, temizlik, maske, türlü"
22,"animasyon, ekip, smail, teşekkür, memnun, harika, beğen, eğlenceli, süperr, güzel"
23,"çocuk, oda, güzel, restoran, yemek, park, mini, çeşit, temizlik, ayrı"
24,"gercekten, anımasyon, ıyı, tesekur, aksam, kemal, anımasyondan, hotelin, hotel, ılgılendı"
25,"animasyon, teşekkür, güzel, bayram, oda, yusuf, eğlenceli, lezzetli, ekip, yemek"
26,"hotel, animasyon, hotelde, ekip, hotele, ilgilen, vakit, kemal, icin, animatör"
27,"türk, raki, animasyon, basarili, show, rus, sis, sahne, yabancı, och"
28,"türk, marş, türkiye, teşekkür, ayrı, mamepa, harika, kulüp, la, stanbul"
29,"garson, mengilli, memnun, teşekkür, mehmet, selçuk, iyi, özge, ilgilenen, ilgi"
30,"oda, konforlu, yemek, cesitli, lezzetli, idi, manzara, harika, memnun, güzel"
31,"antalya, su, barmen, te, yemek, iyi, paralı, garson, içki, edici"
32,"konser, masa, havlu, müzik, karti, iade, tek, sıra, ebru, açılı"
33,"teşekkür, manager, bar, restoran, şef, ayşegül, ilgi, gülen, çalışan, uğur"
34,"ekip, teşekkür, animasyon, öncelik, konum, güzel, garson, cıvıl, personel, profesyonel"
35,"kötü, içecek, pis, döşek, sıcak, masa, beşik, içki, gör, facia"
36,"oda, tavır, personel, sorun, ilgi, yemek, temiz, güzel, ekip, gelme"
37,"teşekkür, kardeş, muhammet, berivan, jooly, mehmet, hnma, agresif, idari, tesekkurler"
38,"mimari, ağaç, son, modern, teşekkür, hak, zaman, yaşam, ic, olanak"
39,"kışın, hersey, denen, salon, restoran, gidilme, yiyecek, restaurantlar, yer, hijyen"
40,"sahil, bar, yeni, marmaris, ses, yer, çeşit, ıslan, na, kısım"
41,"yunus, emir, beyin, eğlence, sayesinde, yasin, ekip, animasyon, şahane, teşekkür"
42,"teşekkür, güzel, eliya, büşra, yemek, yüzlü, yedik, sulfiye, bor, degilmanzarasi"
43,"maske, sosyal, tak, pandemi, mesafe, önlem, elle, calisanlar, uyarı, mevcut"
44,"asansör, ekip, murat, animasyon, merdiven, eğlenceli, dinlen, olmasi, müdür, verici"
45,"ayşe, bölüm, ilgi, konaklamak, teşekkür, güzel, garson, aılemızle, huysuz, hizmetilüxlüğühavuz"
46,"covid, sayı, lobby, yeterli, meydan, bölüm, oda, çalışan, kalabalık, niyetli"
47,"yaz, bura, yeni, bide, gelmek, tercih, hazırlan, iş, keşke, lara"
48,"servis, kaliteli, lezzetli, verilen, tartışıl, güzel, hız, içecek, kokteyl, personel"
49,"çift, tavsiye, balayı, biryerdi, uğramamak, çıktıkoglen, mükemmeldieksik, gelicezve, azdıözellikle, yaptıkguzel"
