Hotel_name,Review_Title,Review_Text,Sentiment,Rating_Percentage,Review_Text_TR
Accord Metropolitan,Excellent comfortableness during stay,Its really nice place to stay especially for business and tourist purpose.,3,100,Özellikle iş ve turistik amaç için kalmak için gerçekten güzel bir yer.
Accord Metropolitan,Not too comfortable,"It seems that hotel does not check the basic amenities in the room, before handing over the room to the traveller.  The phone in my room was not working and it created a problem for me, as after a hectic day of travel you would like to relax and work at your own pace. So they sent the technician who kept on looking for the fix for about an hour and then i had to get my room changed.",1,20,"Otel, odayı gezginlere teslim etmeden önce odadaki temel olanakları kontrol etmiyor gibi görünüyor.  Odamdaki telefon çalışmıyordu ve benim için bir sorun yarattı, çünkü telaşlı bir seyahat gününden sonra dinlenmek ve kendi hızınızda çalışmak istersiniz. Bu yüzden yaklaşık bir saat boyunca düzeltmeyi aramaya devam eden teknisyeni gönderdiler ve sonra odamı değiştirmem gerekiyordu."
Accord Metropolitan,,Worst hotel I have ever encountered. I will never think to stay in thiis hotel in the future,1,20,Şimdiye kadar karşılaştığım en kötü otel. Gelecekte bu otelde kalmayı asla düşünmeyeceğim
Accord Metropolitan,Best hotel,"Had a good time in this hotel and the staff Kumar,aishwarya, and the house keeping guy not sure what his name these people make my stay pleasant and happy for 5 days. For sure I will be back to this place to stay in chennai.Good job guys",3,100,"Bu otelde iyi bir zaman geçirdim ve personel Kumar, Aishwarya ve evi tutan ev, bu insanların 5 gün boyunca benim kalışımı keyifli ve mutlu yaptığından emin değil. Kesinlikle Chennai'de kalmak için bu yere geri döneceğim."
Accord Metropolitan,,good hotel and staff Veg food good non veg breakfast needs improvement,3,100,İyi otel ve personel sebze gıda iyi sebze olmayan kahvaltı iyileştirme gerekir
Accord Metropolitan,,Great hotel. The staff if welcoming. Helpful. Always there for you.,3,100,Büyük otel. Konuksever personel. Yardımsever. Her zaman senin için orada.
Accord Metropolitan,"Good location, excellent staff.","The hotel is mostly clean, but bathrooms need some care, our first bathroom had no hot water, the second one, took a very long time to drain off the tub. Plus painting and caulking were peeling off the wall.
On the plus point, great restaurants and excellent customer service.",3,80,"Otel çoğunlukla temiz, ancak banyo biraz dikkat, ilk banyoda sıcak su, ikincisi, küvet boşaltmak için çok uzun zaman aldı. Ayrıca resim ve kalafat duvardan soyuluyordu.
Artı noktada, harika restoranlar ve mükemmel müşteri hizmetleri."
Accord Metropolitan,convenient and awesome,"Awesome hotel with all needed amenities and luxury, friendly staff, great food",3,100,"Tüm gerekli olanaklar ve lüks, güleryüzlü personel, harika gıda ile harika otel"
Accord Metropolitan,Comfort in the heart of Chennai,"Very nice 
Comfortable",3,100,"Çok güzel 
Rahat"
Accord Metropolitan,Very Good Hotel in T Nagar,The staff of the hotel were polite.  The brick oven chefs were extremely helpful and all the meals were very good.  The room was as advertised and clean.  My stay of 2 days was very comfortable and I would recommend this hotel  to others.,3,80,Otel personeli kibar.  Tuğla fırın şefleri son derece yararlı ve tüm yemekler çok iyi.  Oda reklamı ve temiz.  2 gün kaldığım çok rahat ve bu oteli başkalarına tavsiye ederim.
Accord Metropolitan,Clean Hotel,"Overall a pleasant stay.
Veg restaurant was the best experience @ decent price.",3,80,"Genel olarak hoş bir konaklama.
Veg Restaurant @ iyi fiyat en iyi deneyim oldu."
Accord Metropolitan,Perfect hotel for family and business trip,"I was on my business trip & my stay was for two days, I found perfect hotel with excellent cleanliness and location is also perfect, nice. In all, it is value for money hotel. Suggest to offer at least breakfast included in that offer in case of single occupancy. For double occupancy it is a great deal.",3,86,"Benim iş gezisi oldu & benim kalmak iki gün oldu, mükemmel temizlik ve konumu da mükemmel, güzel ile mükemmel otel bulundu. Toplamda, Money Hotel için değerdir. Tek bir doluluk durumunda bu teklifte en azından kahvaltı sunmayı öneririz. Çift doluluk için çok şey."
Accord Metropolitan,Good food & a perfect stay,"Location : In T Nagar. Very close to the shopping hub and also a few cult South Indian restaurants like Saravana and Murugan. Room : Spacious, Well-lit and clean rooms. Staff : Courteous staff with a simple 2 mins check-in process.",3,86,"Yer: T Nagar'da. Alışveriş merkezi ve ayrıca Saravana ve Murugan gibi birkaç kült Güney Hint restoranına yakın. Oda: Geniş, iyi aydınlatılmış ve temiz odalar. Personel: Basit 2 dakika check-in işlemi olan nazik personel."
Accord Metropolitan,Good stay & nice location,Very good stay. Nice location. Suggest to offer breakfast included in that offer. Also check to offer for complimentary pick up and drop to airport. These things add value to offer and certainly increased business. All the best. Will certainly recommend to stay at this hotel.,3,100,Çok iyi kalmak. Güzel bir yer. Bu teklife dahil kahvaltı sunmayı öneririz. Ayrıca ücretsiz toplama ve havaalanına bırak için teklif kontrol edin. Bu şeyler sunmak için değer katar ve kesinlikle artan iştir. Herşey gönlünce olsun. Kesinlikle bu otelde kalmak tavsiye ederim.
Accord Metropolitan,Nice stay,Its value for money. Its a pleasant experience. They have to improve the reception. Otherwise nothing bad about the hotel. Breakfast is super and the staff are very courteous. I like to stay again. We enjoyed this pleasant stay.,3,86,Para değeri. Hoş bir deneyim. Resepsiyonu geliştirmek zorundalar. Aksi takdirde otel hakkında kötü bir şey yok. Kahvaltı süper ve personel çok nazik. Tekrar kalmayı seviyorum. Biz bu hoş kalmak zevk.
Accord Metropolitan,Loved it,"Cannot think of any negative for this hotel. Right from check in to check out, it was all smooth and an experience to remember. One for one offer for residents at Zodiac made it better. Located in the heart of the shopping district and easily accessible by all modes. Some of the staff had difficulty understanding English, rest all was good.",3,100,"Bu otel için herhangi bir olumsuz düşünemiyorum. Check -in check -out, hepsi pürüzsüz ve hatırlanması gereken bir deneyim oldu. Zodiac sakinleri için bir teklif için bir teklif daha iyi hale getirdi. Alışveriş bölgesinin kalbinde yer almaktadır ve tüm modlarla kolayca erişilebilir. Bazı personel İngilizce anlamakta zorluk vardı, tüm dinlenme iyiydi."
Accord Metropolitan,No value for money,Table and chair not clean. Not value for money. PC lan cable has so much dust but WiFi Internet speed is too good. Bar service is too bad only one waiter serving to all customer. Serving food like tandoori chicken is very salty.,2,57,Masa ve sandalye temiz değil. Para için değer değil. PC LAN kablosu çok fazla toz var ama wifi internet hızı çok iyi. Bar hizmeti çok kötü sadece bir garson tüm müşteriye hizmet. Tandoori tavuk gibi yiyecekleri servis etmek çok tuzlu.
Accord Metropolitan,Really good hotel,Good experience and good hotel to stay. I recommend my friend to stay at accord. Location is good and the service was also good. I have rated 5 star for this hotel. Continue the same service you will be the topper.,3,100,İyi bir deneyim ve kalmak için iyi otel. Arkadaşımın uyumda kalmasını tavsiye ederim. Konumu iyi ve hizmet de iyiydi. Bu otel için 5 yıldız derecelendirdim. Aynı hizmete devam edin Topper olacaksınız.
